date,metric,value,unit,source_id
2026-08-24,sleep_hours,6.5,hours,watch-a
2026-08-24,steps,6000,count,watch-a
2026-08-24,energy_rating,3,rating_1_5,self-report
2026-08-25,sleep_hours,6.5,hours,watch-a
2026-08-25,steps,6000,count,watch-a
2026-08-25,energy_rating,3,rating_1_5,self-report
2026-08-26,sleep_hours,6.5,hours,watch-a
2026-08-26,steps,6000,count,watch-a
2026-08-26,energy_rating,3,rating_1_5,self-report
2026-08-27,sleep_hours,6.5,hours,watch-a
2026-08-27,steps,6000,count,watch-a
2026-08-27,energy_rating,3,rating_1_5,self-report
2026-08-28,sleep_hours,6.5,hours,watch-a
2026-08-28,steps,6000,count,watch-a
2026-08-28,energy_rating,3,rating_1_5,self-report
2026-08-29,sleep_hours,6.5,hours,watch-a
2026-08-29,steps,6000,count,watch-a
2026-08-29,energy_rating,3,rating_1_5,self-report
2026-08-30,sleep_hours,6.5,hours,watch-a
2026-08-30,steps,6000,count,watch-a
2026-08-30,energy_rating,3,rating_1_5,self-report
2026-08-31,sleep_hours,7.0,hours,watch-a
2026-08-31,steps,6500,count,watch-a
2026-08-31,energy_rating,4,rating_1_5,self-report
2026-09-01,sleep_hours,7.0,hours,watch-a
2026-09-01,steps,6500,count,watch-a
2026-09-01,energy_rating,4,rating_1_5,self-report
2026-09-02,sleep_hours,7.0,hours,watch-a
2026-09-02,steps,6500,count,watch-a
2026-09-02,energy_rating,4,rating_1_5,self-report
2026-09-03,steps,6500,count,watch-a
2026-09-03,energy_rating,4,rating_1_5,self-report
2026-09-04,sleep_hours,7.0,hours,watch-a
2026-09-04,steps,6500,count,watch-a
2026-09-04,energy_rating,4,rating_1_5,self-report
2026-09-05,sleep_hours,7.0,hours,watch-a
2026-09-05,steps,6500,count,watch-a
2026-09-05,energy_rating,4,rating_1_5,self-report
2026-09-06,sleep_hours,7.0,hours,watch-a
2026-09-06,steps,6500,count,watch-a
2026-09-06,energy_rating,4,rating_1_5,self-report
2026-09-06,sleep_hours,7,hours,watch-a
2026-09-06,sleep_hours,8,hours,watch-a
2026-09-06,steps,5500,count,phone-b
